district_code,latitude,longitude,month,loss_type_code,drought_score,flood_score,season_code,calamity_verified
29,16.89946,74.43241,11,7,0.6,0.5,2,1
24,19.55715,72.83036,5,3,0.2,0.6,3,0
30,17.56273,73.87336,6,1,0.4,0.55,1,1
25,19.22298,76.96329,1,2,0.75,0.25,2,0
7,20.35602,76.35955,5,8,0.6,0.25,3,0
9,20.79236,74.66641,10,4,0.6,0.3,1,1
8,19.86351,79.36501,3,0,0.3,0.5,2,0
4,19.98005,75.5158,6,1,0.8,0.2,1,0
15,16.70833,74.42447,8,6,0.2,0.7,1,0
24,19.61237,72.78708,10,8,0.2,0.6,1,0
1,19.05936,74.69795,9,6,0.7,0.2,1,0
17,19.19607,72.92238,8,2,0.1,0.8,1,0
28,17.03932,73.24236,7,8,0.1,0.7,1,0
24,19.73652,72.67989,5,2,0.2,0.6,3,0
14,19.92869,75.77439,3,0,0.75,0.2,2,1
15,16.51257,74.29456,10,2,0.2,0.7,1,0
30,17.73177,74.01594,5,6,0.4,0.55,3,0
7,20.39449,76.35188,11,2,0.6,0.25,2,0
6,21.32702,79.66574,12,3,0.2,0.6,2,0
33,19.26908,72.90021,1,8,0.15,0.7,2,0
6,21.16393,79.72697,8,8,0.2,0.6,1,1
32,17.65153,75.72596,8,8,0.9,0.1,1,1
2,20.56923,77.1991,3,0,0.6,0.3,2,0
28,16.90146,73.47331,6,6,0.1,0.7,1,0
26,18.58885,73.95465,6,6,0.4,0.5,1,0
24,19.89337,72.72953,5,3,0.2,0.6,3,0
9,20.97833,74.91334,12,5,0.6,0.3,2,1
26,18.45947,73.68847,3,2,0.4,0.5,2,1
18,19.19028,72.96409,8,0,0.1,0.75,1,0
35,20.11665,77.05433,7,8,0.65,0.25,1,0
5,18.92561,75.69968,5,6,0.85,0.15,3,0
24,19.85511,72.91037,6,7,0.2,0.6,1,0
20,19.2154,77.11202,3,8,0.7,0.3,2,0
35,20.19487,77.0449,9,3,0.65,0.25,1,1
8,20.02305,79.32732,7,2,0.3,0.5,1,0
22,19.96724,73.94682,6,5,0.5,0.4,1,0
30,17.5681,74.08898,1,0,0.4,0.55,2,1
17,19.2334,72.97909,12,4,0.1,0.8,2,1
31,16.18014,73.59228,3,0,0.1,0.6,2,0
3,20.88788,77.88769,2,8,0.5,0.3,2,1
32,17.54603,75.90733,6,6,0.9,0.1,1,0
33,19.1538,73.01744,9,5,0.15,0.7,1,0
25,19.27061,76.88932,8,6,0.75,0.25,1,0
16,18.3352,76.51023,12,2,0.8,0.15,2,0
22,19.87202,73.98274,3,8,0.5,0.4,2,0
6,21.1789,79.758,6,4,0.2,0.6,1,1
4,19.83454,75.4198,6,3,0.8,0.2,1,0
30,17.64953,73.97341,3,0,0.4,0.55,2,0
26,18.49133,73.9254,5,6,0.4,0.5,3,0
34,20.80408,78.51197,6,8,0.5,0.35,1,0
5,18.80909,75.78641,6,6,0.85,0.15,1,0
29,16.69766,74.49457,12,4,0.6,0.5,2,1
16,18.38939,76.42928,10,4,0.8,0.15,1,1
10,20.33467,79.91436,6,4,0.2,0.7,1,0
32,17.75348,75.76517,1,7,0.9,0.1,2,0
28,17.02019,73.26527,11,3,0.1,0.7,2,0
12,19.90448,77.31214,3,0,0.7,0.2,2,1
31,16.3973,73.60462,2,2,0.1,0.6,2,0
10,20.08428,80.00841,10,1,0.2,0.7,1,0
11,21.42718,80.38703,8,3,0.2,0.65,1,1
24,19.79266,72.62108,3,0,0.2,0.6,2,0
23,18.25194,76.13596,5,0,0.85,0.15,3,1
20,19.06905,77.14999,9,5,0.7,0.3,1,0
19,21.07773,79.27002,12,8,0.4,0.4,2,0
16,18.31728,76.49147,5,4,0.8,0.15,3,0
23,18.01648,76.03777,9,6,0.85,0.15,1,0
5,19.00837,75.84233,3,6,0.85,0.15,2,0
17,19.05044,72.76903,6,6,0.1,0.8,1,0
2,20.60329,77.03252,5,4,0.6,0.3,3,0
17,19.11676,72.82009,7,8,0.1,0.8,1,0
27,18.36448,73.17705,10,2,0.15,0.65,1,0
20,18.99701,77.36968,12,7,0.7,0.3,2,0
25,19.15944,76.95529,8,0,0.75,0.25,1,0
21,21.56719,74.06952,6,4,0.5,0.4,1,0
18,19.1983,72.85182,9,0,0.1,0.75,1,0
16,18.5661,76.74348,7,8,0.8,0.15,1,0
24,19.61095,72.64525,12,4,0.2,0.6,2,0
28,17.17976,73.50448,12,4,0.1,0.7,2,0
33,19.25111,73.00838,5,3,0.15,0.7,3,0
6,21.26029,79.69537,2,2,0.2,0.6,2,0
5,18.94059,75.88422,7,7,0.85,0.15,1,1
21,21.55797,74.37685,10,8,0.5,0.4,1,0
35,19.93255,77.29589,1,4,0.65,0.25,2,0
3,21.03759,77.92791,5,6,0.5,0.3,3,0
14,20.02162,75.92247,9,0,0.75,0.2,1,0
32,17.49887,75.89927,2,7,0.9,0.1,2,0
12,19.90719,76.98536,1,5,0.7,0.2,2,0
23,18.23574,76.16202,5,4,0.85,0.15,3,0
34,20.77597,78.5569,6,1,0.5,0.35,1,0
33,19.21944,73.17906,8,6,0.15,0.7,1,0
17,18.9833,72.86365,10,0,0.1,0.8,1,0
13,21.01491,75.54405,11,2,0.65,0.35,2,0
16,18.27275,76.49827,8,3,0.8,0.15,1,1
29,16.67635,74.43757,2,2,0.6,0.5,2,0
21,21.38377,74.1824,6,0,0.5,0.4,1,1
26,18.35692,73.84246,11,8,0.4,0.5,2,0
17,19.20248,72.9793,10,3,0.1,0.8,1,1
22,20.02251,73.87821,10,6,0.5,0.4,1,0
7,20.53467,76.19285,3,6,0.6,0.25,2,0
35,20.20496,77.02291,3,8,0.65,0.25,2,0
22,20.16621,73.82744,10,8,0.5,0.4,1,0
18,19.15474,72.96818,4,5,0.1,0.75,3,1
6,21.06774,79.6493,4,1,0.2,0.6,3,0
22,19.95614,73.78512,5,5,0.5,0.4,3,1
30,17.82693,73.82065,8,6,0.4,0.55,1,0
24,19.7304,72.93696,6,1,0.2,0.6,1,0
30,17.75746,74.17175,8,5,0.4,0.55,1,0
5,19.07438,75.6398,6,5,0.85,0.15,1,0
1,19.1225,74.60175,10,5,0.7,0.2,1,1
33,19.19171,73.11944,6,1,0.15,0.7,1,1
2,20.56553,76.80108,4,0,0.6,0.3,3,1
35,20.24225,77.33601,1,4,0.65,0.25,2,0
9,20.7266,74.86645,2,2,0.6,0.3,2,0
8,20.0602,79.41981,11,8,0.3,0.5,2,1
19,21.07648,79.12532,11,3,0.4,0.4,2,0
14,19.85591,75.8555,3,5,0.75,0.2,2,1
2,20.60161,77.01714,5,7,0.6,0.3,3,1
8,20.07761,79.34803,10,3,0.3,0.5,1,0
36,20.31469,78.0194,6,8,0.6,0.35,1,1
22,20.16071,73.72683,2,4,0.5,0.4,2,1
36,20.34891,78.23892,8,3,0.6,0.35,1,1
12,19.79758,77.16709,2,2,0.7,0.2,2,0
11,21.49336,80.16034,10,7,0.2,0.65,1,0
12,19.72236,77.19458,10,7,0.7,0.2,1,0
12,19.8875,77.26603,12,3,0.7,0.2,2,0
28,16.95965,73.40458,10,8,0.1,0.7,1,0
23,18.37394,76.17556,1,4,0.85,0.15,2,0
15,16.7977,74.12223,5,8,0.2,0.7,3,0
35,20.25541,77.31918,4,8,0.65,0.25,3,0
27,18.41929,73.21105,1,2,0.15,0.65,2,0
33,19.09804,72.98507,1,5,0.15,0.7,2,0
20,18.98414,77.50875,6,5,0.7,0.3,1,0
13,20.88396,75.71922,7,2,0.65,0.35,1,0
29,16.68628,74.68021,8,2,0.6,0.5,1,0
28,16.9888,73.41614,1,1,0.1,0.7,2,0
3,20.9876,77.71349,10,2,0.5,0.3,1,0
7,20.55069,76.08156,8,0,0.6,0.25,1,0
8,20.07997,79.17142,6,8,0.3,0.5,1,1
34,20.82891,78.74228,3,7,0.5,0.35,2,1
21,21.1752,74.0742,7,1,0.5,0.4,1,1
19,21.30707,79.21698,4,1,0.4,0.4,3,0
2,20.52369,77.13226,3,6,0.6,0.3,2,0
9,20.81779,74.94938,2,4,0.6,0.3,2,1
10,20.29994,79.98009,8,6,0.2,0.7,1,0
2,20.59721,77.05802,9,6,0.6,0.3,1,0
29,16.93327,74.69903,2,6,0.6,0.5,2,0
34,20.80057,78.7319,1,4,0.5,0.35,2,1
21,21.2766,74.33287,11,8,0.5,0.4,2,0
7,20.49751,76.13326,10,0,0.6,0.25,1,1
1,19.13126,74.63814,3,4,0.7,0.2,2,1
36,20.43416,78.29972,1,6,0.6,0.35,2,0
22,19.89598,73.60247,5,7,0.5,0.4,3,1
17,19.12933,72.86969,11,1,0.1,0.8,2,0
1,19.06393,74.63856,9,7,0.7,0.2,1,0
30,17.53124,73.92584,6,1,0.4,0.55,1,0
17,19.0584,72.75405,10,8,0.1,0.8,1,0
8,20.02351,79.37691,5,0,0.3,0.5,3,1
25,19.44762,76.58577,12,8,0.75,0.25,2,0
23,18.16928,75.96514,10,4,0.85,0.15,1,0
8,20.07814,79.39803,2,6,0.3,0.5,2,0
17,19.10427,72.87242,8,2,0.1,0.8,1,0
26,18.34614,73.77612,7,6,0.4,0.5,1,0
25,19.42439,76.81635,2,0,0.75,0.25,2,1
34,20.61419,78.55359,11,6,0.5,0.35,2,0
29,16.85191,74.6023,1,4,0.6,0.5,2,0
30,17.69901,74.09291,9,6,0.4,0.55,1,0
30,17.77622,74.03564,2,3,0.4,0.55,2,0
15,16.65665,74.08978,9,0,0.2,0.7,1,0
