district_code,crop_code,season_code,area_hectares,irrigation_type,sowing_month,historical_yield_avg,rainfall_deviation,yield
29,27,4,17.706732427944093,0,10,15.134176449462686,-35.21214774720317,4.904218938370381
15,13,2,19.152996606942796,5,1,18.796381954825435,19.2197605774314,79.29892214369323
8,12,1,7.180676038753329,0,6,15.508918735274507,0.04074494233642412,62.51344647758449
21,18,1,2.5587250232795355,6,5,39.821946634568846,20.772500814448392,35.069689585275526
19,24,1,4.172764029144277,0,10,34.01561656053676,26.49895326681984,5.416102596533847
23,19,1,10.25965045399397,0,8,24.338977443665005,30.366521141331617,162.11917538850125
11,15,2,15.967978726329783,0,4,18.907123367419395,33.4980132695715,87.60779927652264
11,8,2,3.4279960615855667,0,12,17.259581070086266,34.72245215496437,13.136513779661998
24,19,4,13.364764879084763,3,1,28.297680013772798,-8.74255734775803,257.2774097616192
36,10,1,6.809763278770482,3,11,39.39728295497997,38.92280721922076,224.37505665408383
24,7,2,7.153440411646994,3,2,31.8652736164441,21.958025354558657,3.4952255987387795
3,18,2,13.407395738079563,0,8,24.128459206468236,33.897093141832286,20.290480074027155
22,16,2,9.606488680897794,1,10,27.521274330937207,48.919135286460005,72.61210370445964
2,20,1,16.33464921400688,3,8,39.9725841984863,-38.35852578674491,123.86139858382754
24,27,2,3.5404109384251274,1,5,27.96915572211126,-12.942030231459192,10.416976212531605
30,6,2,15.90399126045725,3,6,39.1050371444089,30.654702070626513,982.8111700076304
2,27,2,1.752587337119707,2,2,15.40904297044565,-41.3696528603742,10.54655528315469
21,9,4,4.284050664789298,0,11,33.02407820585431,4.078106547246016,7.700027391661844
33,21,1,13.294919432811724,3,12,30.679036230327913,35.83979589281306,16.97429884105288
12,13,1,17.171050301965888,3,9,32.133246461433046,-48.10087367918342,62.40086086080839
22,25,2,5.427252740917306,3,6,29.26417723143632,43.95188985590724,15.182812625129396
25,21,2,6.8802363136638025,0,12,16.104419406041394,47.814482390460284,13.216563105800082
27,26,1,10.97385459159143,0,9,18.73909838729565,-17.77190702917619,5.394152064263049
28,8,3,4.625669726541395,1,11,38.056281758380365,26.67911913900511,16.685772330126447
16,16,4,16.31754710095636,0,10,20.823125209177917,-37.28238973355485,33.381407921314334
